"name","publishedAtDate","stars","state","text","title"
"Aisha Azmi","2026-01-01T13:28:09.937Z","5","Selangor","Really had a great stay. Im so blessed with the given room. Perfect view of New Year Celebration with affordable and reasonable price tbh. Eventho the fireworks view was 5 star show which im afraid my son definitely gonna woke up but my son sleep safe and sound. (I prepared earmuff, incase) - love the soundproof of the hotel. hehe. Im so happy. Breakfast - perfect, everything so delicious. Just need extra “sabar” for the replenishment due to PH, but im okay with it. My son happy, im happy and my husband surely will be happy too staying at this hotel. Accessible to the curve, IKEA, Lotus etc. Easy peasy. Will come back for sure.","Royale Chulan Damansara"
"Siti Besri","2026-01-01T10:02:29.511Z","5","Selangor","We had an outstanding wedding experience at Royal Chulan Damansara. From start to finish, the service was exceptional.

A special thank you to the best hotel coordinator, Sarah Benjamin, who managed the Grand Ballroom flawlessly and ensured all family hotel rooms were perfectly arranged and well taken care of. Her professionalism, calmness, and attention to detail truly made everything seamless.

The food was absolutely excellent — huge appreciation to Chef Haniff and his sous chef for delivering delicious dishes that impressed all our guests. We received so many compliments, and everyone was genuinely happy and satisfied with the food.

Thank you Royal Chulan Damansara team for making our wedding memorable, smooth, and truly special. Highly recommended for anyone looking for top-notch wedding service and hospitality.","Royale Chulan Damansara"
"Siti Ghazali","2026-01-01T05:39:15.139Z","5","Selangor","⭐⭐⭐⭐⭐
We would like to express our sincere appreciation to Chef Muhamad Haniff Bin Hj. Ahmad Sukri (Malay Chef), and the culinary team for the excellent food served during our daughter’s wedding reception at Royal Chulan Damansara on 20 December 2025.

The dishes were beautifully presented, rich in flavor, and consistently delicious. Many of our guests complimented the quality, taste, and variety of the food, making the evening even more memorable.

Thank you, Chef Muhamad Haniff, for your dedication and for contributing to such a wonderful and unforgettable celebration.

Sincerely
Zul,Siti, Fiqah, Luqman & Daniel","Royale Chulan Damansara"
"khairi inteam","2026-01-01T04:11:01.762Z","5","Selangor",,"Royale Chulan Damansara"
"firdaus ibrahim","2025-12-29T11:15:43.866Z","4","Selangor",,"Royale Chulan Damansara"
"zuhair bashir","2025-12-29T05:57:40.131Z","4","Selangor","Room somewhat a bit rundown. Price, room service was ok. Superb location.  Suggest RCD to upgrade TV","Royale Chulan Damansara"
"Anant Shashank","2025-12-29T05:43:36.409Z","5","Selangor",,"Royale Chulan Damansara"
"Khairul komar Johar","2025-12-28T14:31:44.481Z","4","Selangor",,"Royale Chulan Damansara"
"Kwang Voon Tung","2025-12-28T03:11:10.004Z","1","Selangor",,"Royale Chulan Damansara"
"Azreena -","2025-12-27T08:26:55.196Z","1","Selangor","First impression is all that matters. Arrived at RCD So called *5 Stars* today with 30 pax tourists staying here for couple of days. Went straight to the reception counter and asked if there is any packs of juice left at the storage room sent by our travel agency. The GSA answered very negatively "" selalunya kalau barang tanya dekat sana. Jangan tanya dekat sini tu bukan kerja kitorang "". Mind you, this is 5 star hotel and is this the correct way to answer your guest ? Team please check your team members unwelcoming behavior. Date 27/12/2025 Time 4:00pm. GSA wearing hijab. Al Hafizan","Royale Chulan Damansara"
"Federico Gil","2025-12-26T03:48:39.668Z","1","Selangor","There are feaces stick on to the wall at room 910, breakfast buffet 38MYR, the food is low quality, we book a room all included but kid breakfast was not included... I guess I'm enjoying the Malay hospitality...","Royale Chulan Damansara"
"Nur 379","2025-12-26T02:03:09.263Z","5","Selangor","Dinner Anak Tahun 6 sigma skbud 4","Royale Chulan Damansara"
"Anthony Gan","2025-12-25T13:23:38.886Z","5","Selangor",,"Royale Chulan Damansara"
"ASROY BENZ BENZ","2025-12-25T12:56:01.588Z","4","Selangor","NICE HOTEL.","Royale Chulan Damansara"
"YS Wong","2025-12-24T08:53:19.793Z","5","Selangor",,"Royale Chulan Damansara"
